Region,Key Apps,Team,Priority,Ticket Type,Number,State,Created,Reason,Age,Ageing Bucket,Backlog With,Week_Reported,Month Name,Year,Week,YearWeek
NA.,PeopleSoft Ricochet,GD,P3 - Minor,SR,INC10167911,Work In Progress,08/01/2021 19:28,Work In Progress,1.19,00-30,With IBM,2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P4 - Minimal,SR,INC10167876,On Hold,08/01/2021 19:11,Non IBM 3rd Party Engagement,1.2,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P3 - Minor,Incident,INC10167852,On Hold,08/01/2021 19:04,Awaiting User input,1.2,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P4 - Minimal,Incident,INC10167820,On Hold,08/01/2021 18:52,Customer Testing,1.21,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
NA.,SAP,GD,P3 - Minor,SR,INC10167782,On Hold,08/01/2021 18:40,Monitoring,1.22,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P4 - Minimal,SR,INC10167745,On Hold,08/01/2021 18:31,Non IBM 3rd Party Engagement,1.23,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P3 - Minor,SR,INC10167736,On Hold,08/01/2021 18:28,Awaiting User input,1.23,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P4 - Minimal,SR,INC10167669,On Hold,08/01/2021 18:12,Non IBM 3rd Party Engagement,1.24,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
NA.,PeopleSoft Ricochet,GD,P4 - Minimal,SR,INC10167660,Work In Progress,08/01/2021 18:07,Work In Progress,1.24,00-30,With IBM,2021-01,Jan,2021,1,202101
LATAM,Tango & Condor,Local,P4 - Minimal,SR,INC10167514,On Hold,08/01/2021 17:41,Awaiting User input,1.26,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,SR,INC10167449,Work In Progress,08/01/2021 17:19,Work In Progress,1.28,00-30,With IBM,2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P3 - Minor,SR,INC10167442,On Hold,08/01/2021 17:16,Awaiting User input,1.28,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
NA.,PeopleSoft Ricochet,Local,P3 - Minor,SR,INC10167436,Work In Progress,08/01/2021 17:15,Work In Progress,1.28,00-30,With IBM,2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,Local,P3 - Minor,SR,INC10167404,Queued,08/01/2021 17:07,Queued,1.29,00-30,With IBM,2021-01,Jan,2021,1,202101
NA.,SAP,GD,P3 - Minor,SR,INC10167365,On Hold,08/01/2021 16:56,Monitoring,1.29,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P3 - Minor,SR,INC10167347,On Hold,08/01/2021 16:57,Awaiting User input,1.29,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - NA,GD,P4 - Minimal,SR,INC10167318,On Hold,08/01/2021 16:46,Awaiting User input,1.3,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P4 - Minimal,SR,INC10167246,Queued,08/01/2021 16:30,Queued,1.31,00-30,With IBM,2021-01,Jan,2021,1,202101
EMEA,Other - EMEA,Local,P3 - Minor,SR,INC10167203,Queued,08/01/2021 16:21,Queued,1.32,00-30,With IBM,2021-01,Jan,2021,1,202101
APAC,Adept,Local,P3 - Minor,Incident,INC10167160,Queued,08/01/2021 16:09,Queued,1.33,00-30,With IBM,2021-01,Jan,2021,1,202101
EMEA,Other - EMEA,Local,P3 - Minor,SR,INC10167126,On Hold,08/01/2021 16:01,Work not yet due,1.33,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P4 - Minimal,SR,INC10167103,On Hold,08/01/2021 16:00,Awaiting User input,1.33,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
NA.,Other - NA,GD,P3 - Minor,SR,INC10167098,Work In Progress,08/01/2021 15:57,Work In Progress,1.33,00-30,With IBM,2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,Local,P4 - Minimal,SR,INC10167018,Queued,08/01/2021 15:39,Queued,1.35,00-30,With IBM,2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P4 - Minimal,SR,INC10166984,On Hold,08/01/2021 15:35,Work not yet due,1.35,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P3 - Minor,SR,INC10166957,On Hold,08/01/2021 15:27,Non IBM 3rd Party Engagement,1.36,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P4 - Minimal,SR,INC10166940,On Hold,08/01/2021 15:23,Non IBM 3rd Party Engagement,1.36,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P4 - Minimal,SR,INC10166939,Queued,08/01/2021 15:20,Queued,1.36,00-30,With IBM,2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P3 - Minor,Incident,INC10166896,On Hold,08/01/2021 15:12,Awaiting User input,1.37,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
NA.,JD Edwards,GD,P4 - Minimal,SR,INC10166852,On Hold,08/01/2021 15:04,Customer Testing,1.37,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
EMEA,Other - EMEA,Local,P3 - Minor,SR,INC10166781,On Hold,08/01/2021 14:51,Non IBM 3rd Party Engagement,1.38,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
EMEA,Other - EMEA,Local,P3 - Minor,SR,INC10166708,On Hold,08/01/2021 14:37,Awaiting User input,1.39,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,SR,INC10166703,On Hold,08/01/2021 14:40,Awaiting User input,1.39,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P4 - Minimal,SR,INC10166701,On Hold,08/01/2021 14:39,Work not yet due,1.39,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P3 - Minor,SR,INC10166675,On Hold,08/01/2021 14:32,Awaiting User input,1.39,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,Local,P4 - Minimal,SR,INC10166655,Queued,08/01/2021 14:27,Queued,1.4,00-30,With IBM,2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P4 - Minimal,SR,INC10166583,On Hold,08/01/2021 14:32,Awaiting User input,1.39,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P3 - Minor,SR,INC10166513,On Hold,08/01/2021 14:09,Awaiting User input,1.41,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
NA.,SAP,GD,P3 - Minor,SR,INC10166492,On Hold,08/01/2021 14:14,Awaiting User input,1.41,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,Local,P4 - Minimal,SR,INC10166473,Queued,08/01/2021 13:51,Queued,1.42,00-30,With IBM,2021-01,Jan,2021,1,202101
NA.,Other - NA,Local,P3 - Minor,SER,INC10166444,Queued,08/01/2021 13:49,Queued,1.42,00-30,With IBM,2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,Local,P4 - Minimal,SR,INC10166409,Queued,08/01/2021 13:40,Queued,1.43,00-30,With IBM,2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,Local,P3 - Minor,SER,INC10166397,Work In Progress,08/01/2021 13:39,Work In Progress,1.43,00-30,With IBM,2021-01,Jan,2021,1,202101
LATAM,Tango & Condor,Local,P3 - Minor,Incident,INC10166388,On Hold,08/01/2021 13:49,Awaiting User input,1.42,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P3 - Minor,Incident,INC10166325,On Hold,08/01/2021 13:59,Work not yet due,1.42,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P4 - Minimal,SR,INC10166295,Work In Progress,08/01/2021 13:16,Work In Progress,1.45,00-30,With IBM,2021-01,Jan,2021,1,202101
APAC,Adept,Local,P4 - Minimal,SR,INC10166260,Queued,08/01/2021 13:11,Queued,1.45,00-30,With IBM,2021-01,Jan,2021,1,202101
Global - NA,Maconomy - NA,GD,P3 - Minor,SR,INC10166256,Work In Progress,08/01/2021 13:10,Work In Progress,1.45,00-30,With IBM,2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P3 - Minor,SR,INC10166079,On Hold,08/01/2021 12:48,Awaiting User input,1.47,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,Local,P4 - Minimal,SR,INC10166017,Queued,08/01/2021 12:35,Queued,1.48,00-30,With IBM,2021-01,Jan,2021,1,202101
APAC,Adept,Local,P3 - Minor,Incident,INC10165865,Queued,08/01/2021 12:06,Queued,1.5,00-30,With IBM,2021-01,Jan,2021,1,202101
Global - NA,Maconomy - NA,GD,P3 - Minor,SR,INC10165863,On Hold,08/01/2021 12:05,Awaiting User input,1.5,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - NA,Maconomy - NA,GD,P3 - Minor,SR,INC10165804,Work In Progress,08/01/2021 11:55,Work In Progress,1.5,00-30,With IBM,2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,SR,INC10165780,Work In Progress,08/01/2021 11:50,Work In Progress,1.51,00-30,With IBM,2021-01,Jan,2021,1,202101
APAC,Adept,Local,P4 - Minimal,SR,INC10165662,Queued,08/01/2021 11:30,Queued,1.52,00-30,With IBM,2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P4 - Minimal,SR,INC10165626,On Hold,08/01/2021 11:24,Non IBM 3rd Party Engagement,1.52,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,SR,INC10165579,On Hold,08/01/2021 11:16,Awaiting User input,1.53,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,Local,P3 - Minor,SER,INC10165523,Work In Progress,08/01/2021 11:07,Work In Progress,1.54,00-30,With IBM,2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P3 - Minor,Incident,INC10165487,On Hold,08/01/2021 11:05,Non IBM 3rd Party Engagement,1.54,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,Local,P4 - Minimal,SR,INC10165474,Queued,08/01/2021 10:59,Queued,1.54,00-30,With IBM,2021-01,Jan,2021,1,202101
Global - NA,Maconomy - NA,GD,P3 - Minor,SR,INC10165418,Work In Progress,08/01/2021 13:25,Work In Progress,1.44,00-30,With IBM,2021-01,Jan,2021,1,202101
EMEA,Other - EMEA,Local,P3 - Minor,SR,INC10165408,On Hold,08/01/2021 11:15,Work not yet due,1.53,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,Local,P4 - Minimal,SR,INC10165383,Queued,08/01/2021 10:48,Queued,1.55,00-30,With IBM,2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,Local,P4 - Minimal,SR,INC10165267,Queued,08/01/2021 10:35,Queued,1.56,00-30,With IBM,2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P4 - Minimal,SR,INC10165204,On Hold,08/01/2021 10:29,Non IBM 3rd Party Engagement,1.56,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,Local,P3 - Minor,SR,INC10165113,Queued,08/01/2021 10:12,Queued,1.57,00-30,With IBM,2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P4 - Minimal,SR,INC10165104,Work In Progress,08/01/2021 10:11,Work In Progress,1.58,00-30,With IBM,2021-01,Jan,2021,1,202101
Global - NA,Maconomy - NA,Local,P4 - Minimal,SR,INC10165101,Work In Progress,08/01/2021 10:10,Work In Progress,1.58,00-30,With IBM,2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P4 - Minimal,SR,INC10165072,Work In Progress,08/01/2021 10:05,Work In Progress,1.58,00-30,With IBM,2021-01,Jan,2021,1,202101
Global - EMEA,HR.net (Talent Tree),Local,P4 - Minimal,SR,INC10165050,Queued,08/01/2021 10:02,Queued,1.58,00-30,With IBM,2021-01,Jan,2021,1,202101
APAC,Other - APAC,GD,P3 - Minor,Incident,INC10165012,On Hold,08/01/2021 10:02,Customer Testing,1.58,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,SR,INC10165001,Work In Progress,08/01/2021 9:55,Work In Progress,1.59,00-30,With IBM,2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P4 - Minimal,SR,INC10164971,Work In Progress,08/01/2021 9:55,Work In Progress,1.59,00-30,With IBM,2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P4 - Minimal,SR,INC10164940,Work In Progress,08/01/2021 9:45,Work In Progress,1.59,00-30,With IBM,2021-01,Jan,2021,1,202101
NA.,Other - NA,GD,P3 - Minor,SR,INC10164804,Work In Progress,08/01/2021 9:23,Work In Progress,1.61,00-30,With IBM,2021-01,Jan,2021,1,202101
NA.,SAP,Local,P3 - Minor,SER,INC10164679,Queued,08/01/2021 9:24,Queued,1.61,00-30,With IBM,2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,SR,INC10164617,Work In Progress,08/01/2021 8:55,Work In Progress,1.63,00-30,With IBM,2021-01,Jan,2021,1,202101
APAC,Adept,GD,P3 - Minor,SR,INC10164488,On Hold,08/01/2021 8:33,Awaiting User input,1.64,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
APAC,Adept,GD,P4 - Minimal,Incident,INC10164335,On Hold,08/01/2021 8:07,Monitoring,1.66,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
APAC,Adept,Local,P3 - Minor,SER,INC10164331,On Hold,08/01/2021 8:06,Monitoring,1.66,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
APAC,Adept,GD,P3 - Minor,SR,INC10164304,On Hold,08/01/2021 8:01,Awaiting User input,1.67,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
APAC,Other - APAC,GD,P3 - Minor,Incident,INC10164156,On Hold,08/01/2021 7:38,Customer Testing,1.68,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,SR,INC10163893,On Hold,08/01/2021 6:37,Awaiting User input,1.72,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
APAC,Other - APAC,Local,P4 - Minimal,SR,INC10163882,Work In Progress,08/01/2021 6:34,Work In Progress,1.73,00-30,With IBM,2021-01,Jan,2021,1,202101
APAC,Adept,Local,P3 - Minor,SR,INC10163393,On Hold,08/01/2021 3:37,Monitoring,1.85,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
APAC,Other - APAC,GD,P3 - Minor,Incident,INC10163382,On Hold,08/01/2021 3:29,Monitoring,1.85,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
APAC,Other - APAC,Local,P3 - Minor,Incident,INC10163371,On Hold,08/01/2021 3:25,Monitoring,1.86,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
APAC,Adept,GD,P3 - Minor,SR,INC10163117,On Hold,08/01/2021 1:27,Monitoring,1.94,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
LATAM,Tango & Condor,Local,P3 - Minor,Incident,INC10163091,On Hold,08/01/2021 1:15,Awaiting User input,1.95,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
EMEA,Other - EMEA,Local,P3 - Minor,SR,INC10162922,On Hold,07/01/2021 23:43,Awaiting User input,2.01,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - NA,Maconomy - NA,GD,P3 - Minor,SR,INC10162890,Work In Progress,07/01/2021 23:23,Work In Progress,2.03,00-30,With IBM,2021-01,Jan,2021,1,202101
LATAM,Tango & Condor,Local,P4 - Minimal,SR,INC10162879,On Hold,07/01/2021 23:17,Awaiting User input,2.03,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P3 - Minor,SR,INC10162872,On Hold,07/01/2021 23:15,Work not yet due,2.03,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
EMEA,Other - EMEA,Local,P3 - Minor,SR,INC10162844,On Hold,07/01/2021 23:02,Awaiting User input,2.04,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - NA,Maconomy - NA,GD,P3 - Minor,SR,INC10162796,On Hold,07/01/2021 22:39,Awaiting User input,2.06,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
LATAM,Tango & Condor,Local,P3 - Minor,Incident,INC10162785,On Hold,07/01/2021 22:33,Awaiting User input,2.06,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P3 - Minor,Incident,INC10162778,On Hold,07/01/2021 22:31,Non IBM 3rd Party Engagement,2.06,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
EMEA,Other - EMEA,Local,P3 - Minor,SR,INC10162733,On Hold,07/01/2021 22:10,Awaiting User input,2.08,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - NA,GD,P3 - Minor,SR,INC10162731,Work In Progress,07/01/2021 22:04,Work In Progress,2.08,00-30,With IBM,2021-01,Jan,2021,1,202101
EMEA,Other - EMEA,Local,P3 - Minor,SR,INC10162676,On Hold,07/01/2021 21:46,Awaiting User input,2.09,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
NA.,PeopleSoft Ricochet,GD,P3 - Minor,SR,INC10162636,On Hold,07/01/2021 21:28,Awaiting User input,2.11,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,Local,P4 - Minimal,SR,INC10162632,Queued,07/01/2021 21:28,Queued,2.11,00-30,With IBM,2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P4 - Minimal,SR,INC10162617,Work In Progress,07/01/2021 21:22,Work In Progress,2.11,00-30,With IBM,2021-01,Jan,2021,1,202101
NA.,Other - NA,GD,P3 - Minor,SR,INC10162461,On Hold,07/01/2021 20:32,Customer Testing,2.14,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P3 - Minor,SR,INC10162439,On Hold,07/01/2021 20:25,Non IBM 3rd Party Engagement,2.15,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P3 - Minor,SR,INC10162429,On Hold,07/01/2021 20:21,Work not yet due,2.15,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P4 - Minimal,Incident,INC10162352,On Hold,07/01/2021 20:05,Non IBM 3rd Party Engagement,2.16,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P3 - Minor,Incident,INC10162309,On Hold,07/01/2021 19:53,Awaiting User input,2.17,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
NA.,Other - NA,GD,P3 - Minor,SR,INC10162265,Work In Progress,07/01/2021 19:36,Work In Progress,2.18,00-30,With IBM,2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,Local,P4 - Minimal,SER,INC10162158,Work In Progress,07/01/2021 19:06,Work In Progress,2.2,00-30,With IBM,2021-01,Jan,2021,1,202101
Global - NA,Maconomy - NA,GD,P3 - Minor,SR,INC10162157,Work In Progress,07/01/2021 19:05,Work In Progress,2.2,00-30,With IBM,2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,Local,P4 - Minimal,SR,INC10162076,Queued,07/01/2021 18:32,Queued,2.23,00-30,With IBM,2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P4 - Minimal,SR,INC10162036,On Hold,07/01/2021 18:17,Customer unavailable 1st Attempt,2.24,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,SR,INC10162027,On Hold,07/01/2021 18:14,Awaiting User input,2.24,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P4 - Minimal,SR,INC10161955,Work In Progress,07/01/2021 18:00,Work In Progress,2.25,00-30,With IBM,2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P3 - Minor,Incident,INC10161928,On Hold,07/01/2021 17:52,Non IBM 3rd Party Engagement,2.26,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P3 - Minor,SR,INC10161908,On Hold,07/01/2021 17:44,Non IBM 3rd Party Engagement,2.26,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P3 - Minor,SR,INC10161876,On Hold,07/01/2021 17:36,Non IBM 3rd Party Engagement,2.27,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P3 - Minor,SR,INC10161875,On Hold,07/01/2021 17:35,Non IBM 3rd Party Engagement,2.27,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
LATAM,Tango & Condor,Local,P4 - Minimal,SR,INC10161853,On Hold,07/01/2021 17:31,Awaiting User input,2.27,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P3 - Minor,SR,INC10161841,On Hold,07/01/2021 17:28,Awaiting User input,2.27,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P3 - Minor,SR,INC10161810,On Hold,07/01/2021 17:22,Awaiting User input,2.28,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - NA,Maconomy - NA,GD,P4 - Minimal,SR,INC10161766,On Hold,07/01/2021 17:12,Awaiting User input,2.28,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
NA.,SAP,GD,P3 - Minor,SR,INC10161720,On Hold,07/01/2021 17:03,Monitoring,2.29,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
NA.,SAP,GD,P3 - Minor,SR,INC10161632,Work In Progress,07/01/2021 16:46,Work In Progress,2.3,00-30,With IBM,2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P4 - Minimal,SR,INC10161413,On Hold,07/01/2021 16:08,Customer Testing,2.33,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P4 - Minimal,SR,INC10161411,On Hold,07/01/2021 16:00,Awaiting User input,2.33,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P4 - Minimal,SR,INC10161382,On Hold,07/01/2021 15:57,Work not yet due,2.34,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P4 - Minimal,SR,INC10161377,On Hold,07/01/2021 15:55,Customer Testing,2.34,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,Incident,INC10161346,On Hold,07/01/2021 15:49,Awaiting User input,2.34,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - NA,GD,P4 - Minimal,SR,INC10161341,On Hold,07/01/2021 15:48,Customer Testing,2.34,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P4 - Minimal,SR,INC10161324,On Hold,07/01/2021 15:46,Customer unavailable 2nd Attempt,2.34,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P4 - Minimal,SR,INC10161306,On Hold,07/01/2021 15:43,Awaiting User input,2.34,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P4 - Minimal,SR,INC10161159,Work In Progress,07/01/2021 15:21,Work In Progress,2.36,00-30,With IBM,2021-01,Jan,2021,1,202101
